-2.999999999999999889e-02,-5.163561469518569008e-02,2.883252783433198907e-02,-2.999999999999999889e-02,5.236425340447842941e-02,2.866689193101731870e-02,5.999999999999999778e-02,3.643193546463619663e-04,2.874970988267470939e-02
-2.999999827951853673e-02,-5.163562167751207382e-02,2.883252784545224656e-02,-3.000000176876108787e-02,5.236424633567814124e-02,2.866689194227535487e-02,6.000000000318328475e-02,3.643093563135026266e-04,2.874970989859834680e-02
-2.999999307618306590e-02,-5.163564220604566907e-02,2.883252787814497009e-02,-3.000000711811097107e-02,5.236422554561732945e-02,2.866689197538449529e-02,6.000000001281063922e-02,3.642797063253739079e-04,2.874970994581708961e-02
-2.999998433372915232e-02,-5.163567566617923571e-02,2.883252793142616899e-02,-3.000001610589295847e-02,5.236419164607530874e-02,2.866689202936538450e-02,6.000000002898617235e-02,3.642309206575666770e-04,2.874971002350103222e-02
-2.999997200442161560e-02,-5.163572146051158968e-02,2.883252800433658281e-02,-3.000002878118175967e-02,5.236414523205400878e-02,2.866689210326238413e-02,6.000000005179820239e-02,3.641635130314036309e-04,2.874971013081921434e-02
-2.999995604877359404e-02,-5.163577900858921932e-02,2.883252809594186172e-02,-3.000004518457230485e-02,5.236408688202228573e-02,2.866689219614393380e-02,6.000000008131978896e-02,3.640779946798704562e-04,2.874971026694012055e-02
-2.999993643526554024e-02,-5.163584774664035926e-02,2.883252820533205307e-02,-3.000006534846863526e-02,5.236401715816766528e-02,2.866689230710248171e-02,6.000000011760924651e-02,3.639748741209029208e-04,2.874971043103277668e-02
-2.999991314006474064e-02,-5.163592712730274981e-02,2.883252833162183726e-02,-3.000008929737224897e-02,5.236393660665455974e-02,2.866689243525437358e-02,6.000000016071068559e-02,3.638546569379731395e-04,2.874971062226730489e-02
-2.999988614674580639e-02,-5.163601661934580367e-02,2.883252847395033347e-02,-3.000011704816946123e-02,5.236384575788800150e-02,2.866689257973957516e-02,6.000000021065447081e-02,3.637178455679126185e-04,2.874971083981581188e-02
-2.999985544601258686e-02,-5.163611570738813744e-02,2.883252863148119682e-02,-3.000014861041728695e-02,5.236374512678211579e-02,2.866689273972201912e-02,6.000000026745783144e-02,3.635649390959087065e-04,2.874971108285290233e-02
-2.999982103542193218e-02,-5.163622389161122428e-02,2.883252880340193836e-02,-3.000018398662743918e-02,5.236363521303263185e-02,2.866689291438909160e-02,6.000000033112527081e-02,3.633964330576099425e-04,2.874971135055660876e-02
-2.999978291910965558e-02,-5.163634068746989630e-02,2.883252898892428584e-02,-3.000022317254803436e-02,5.236351650139259295e-02,2.866689310295142401e-02,6.000000040164913534e-02,3.632128192482704781e-04,2.874971164210918251e-02
-2.999974110751912199e-02,-5.163646562540036289e-02,2.883252918728312908e-02,-3.000026615744266420e-02,5.236338946195070315e-02,2.866689330464286534e-02,6.000000047901011407e-02,3.630145855388624502e-04,2.874971195669699664e-02
-2.999969561713266425e-02,-5.163659825052645258e-02,2.883252939773732482e-02,-3.000031292436645958e-02,5.236325455041154070e-02,2.866689351871995473e-02,6.000000056317769670e-02,3.628022156990870777e-04,2.874971229351208635e-02
-2.999964647020625721e-02,-5.163673812236461297e-02,2.883252961956832283e-02,-3.000036345043891745e-02,5.236311220837727015e-02,2.866689374446206029e-02,6.000000065411071476e-02,3.625761892272044143e-04,2.874971265175219060e-02
